factor_name,factors,top_n,rebalance_days,industry_cap,weight_mode,total_return,annualized_return,max_drawdown,sharpe,final_value,avg_turnover,avg_holdings,avg_fee,avg_cash
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",6,30,2,equal,3.9481110729500006,0.2676548532131686,0.18254909845711276,1.1899676719625856,296529.3781,0.5781372037397703,6.0,111.22143684210526,0.07243658802995413
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",15,20,2,equal,2.588981576809937,0.20868948448863356,0.17030300361770523,1.129012580058215,214962.4160400001,0.3195320453085964,14.894117647058824,83.971576,0.1346308346128517
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",6,30,2,inverse_vol,2.929032185441036,0.22502781364942304,0.16371223474601182,1.1163349954882786,235463.27551999988,0.6450678122867644,6.0,107.71446456140352,0.07739410803833624
value_cash_growth,"earnings_yield,cashflow_yield,sales_yield,growth_peg",8,30,2,equal,2.6099538372351048,0.20973448804231443,0.20330282165389246,1.1091093641794132,216304.73718999999,0.4388403241243852,8.0,79.53092649122807,0.0898634714979088
value_cash_growth,"earnings_yield,cashflow_yield,sales_yield,growth_peg",8,60,2,equal,2.5452501843791513,0.20649360433806563,0.15601965375301396,1.1006592273575941,212427.76056999993,0.6047025995221664,8.0,101.73239413793105,0.08703606248052265
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",15,40,2,inverse_vol,1.7941286183777523,0.16463114434328951,0.1408607025324864,1.0941817240190608,167329.74236,0.5183959369934219,13.674418604651162,108.63389860465116,0.1870188292192436
quality_growth_momentum,"quality_roe,growth_peg,momentum_60,ma_slope_60",6,30,2,equal,4.5318971449285295,0.28879836037926787,0.28575860532431707,1.090622591440052,331521.63312000013,0.8798239530559139,5.982456140350878,187.81345403508774,0.1302042124637602
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",15,20,2,inverse_vol,1.8654632432817748,0.16899405208518803,0.13822652252369327,1.0814807234763417,171642.30368000007,0.37642706407129795,14.070588235294117,93.30230964705883,0.16550723371056755
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",12,40,2,inverse_vol,1.9577626967884427,0.1745039405719635,0.14941259726695155,1.0646416018976008,177170.90623,0.5671177191853197,11.209302325581396,104.63008767441859,0.16148629856419058
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",12,20,2,equal,2.5229672812051747,0.20536582941811643,0.19960473491773456,1.0626325122553566,211028.53428000002,0.33958705201930656,11.988235294117647,76.62900847058825,0.12250177291534635
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",15,40,2,equal,2.1607546741418435,0.18612440177529188,0.1518144945230575,1.0612576893155747,189319.89579999994,0.4661945121606974,14.604651162790697,99.63033023255815,0.18455404358350863
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",15,40,1,equal,2.0561417254319596,0.1802178145600224,0.17000875961611528,1.0607857771455025,183042.35855999996,0.4856952204230931,14.720930232558139,103.50328930232557,0.1706163609535306
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",8,40,1,equal,3.079417268751552,0.23187166873086285,0.2276823200725029,1.0606967117885957,244432.88067,0.5822660416077391,8.0,100.7702169767442,0.1093324021134335
quality_growth_momentum,"quality_roe,growth_peg,momentum_60,ma_slope_60",6,30,2,inverse_vol,3.6421337137365084,0.2557097214385087,0.278150871790276,1.059658807972397,278202.6239200001,0.9409656936601377,5.807017543859649,175.74344,0.1456246553335942
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",15,40,2,equal,2.0205058937388944,0.17816641886236728,0.14872923750590228,1.0580362299256847,180912.86679999993,0.442882707724097,14.627906976744185,95.53798139534884,0.16823896768861174
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",10,40,1,equal,2.6133929174491617,0.20990535644653696,0.19151397453177943,1.0573729518930897,216477.04487,0.5419464843004701,9.930232558139535,100.67337511627908,0.14058098303967553
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",10,20,1,equal,2.8070520400609964,0.21931076766801905,0.18916893585473815,1.0499213188231644,228079.18448999996,0.40801844369951146,10.0,86.03312364705884,0.09949573410371518
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",8,30,1,equal,2.5935574964741113,0.2089179356621791,0.19249167803480638,1.047495173004803,215321.83461,0.5862085730634122,8.0,99.52921736842106,0.09388300635041111
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",15,60,2,equal,2.232890838093439,0.1901010513179986,0.15238783263730094,1.0450832460799082,193634.32508,0.5314898474173442,14.89655172413793,120.16120413793105,0.14332354755444746
quality_growth_momentum,"quality_roe,growth_peg,momentum_60,ma_slope_60",6,20,1,inverse_vol,3.4599237802272462,0.24827391851239566,0.283331950419484,1.0432923084486256,267282.80025000003,0.7206333339191678,5.811764705882353,129.46117352941175,0.15290838145581664
value_cash_growth,"earnings_yield,cashflow_yield,sales_yield,growth_peg",10,60,2,equal,2.332535371170772,0.19547165353167828,0.2185168229578066,1.0397721052341706,199654.97901999994,0.6078241120667182,10.0,111.41451655172415,0.10786777559942426
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",10,40,1,equal,2.853434422762002,0.22150278338419271,0.19553081343137835,1.0386620931166959,230857.93715999994,0.5164136972134019,10.0,104.11774046511627,0.10009631851104049
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",12,40,2,equal,2.3145845226677078,0.1945143381888128,0.19034081155300764,1.037556140862639,198548.36284000005,0.5183436355942328,11.906976744186046,104.57295720930234,0.1443386822200188
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",12,40,1,inverse_vol,1.8229028856790914,0.16640230026671565,0.13944131839120988,1.0349345856093835,169097.96202999994,0.5832284162254778,11.162790697674419,100.74506906976742,0.18028772317042574
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",8,30,2,equal,2.718086450120622,0.2150418477903817,0.2790280150874115,1.0344551155704962,222783.75460000004,0.5253223283002536,8.0,89.81132280701755,0.1205864245383246
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",8,40,2,equal,3.1449993724587335,0.2347891349616169,0.21669228473441604,1.0309399594118147,248363.91929000002,0.5977794046856953,8.0,106.07164441860463,0.11053287142635457
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",15,30,2,equal,2.1374361459551716,0.1848223860473912,0.20161584025474266,1.0275132701785383,187917.05659999998,0.3835133590869954,14.912280701754385,91.24462105263159,0.14563357894750759
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",15,20,2,equal,1.916947629528572,0.17208577953488602,0.16244088127622958,1.025238675983893,174710.2604400001,0.3271284167099513,14.870588235294118,76.87928894117647,0.14989574554829085
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",6,40,2,equal,3.6762949743904665,0.2570760518419468,0.25771327859291693,1.0247300377156132,280244.24701999995,0.660053222455606,6.0,112.41286000000001,0.09264620790403143
