date,rebalance_count,target_exposure,actual_exposure,turnover,fee,holdings,targets,case
2020-06-30,7,0.98,0.9057687725570222,0.5315227349389676,89.89316,10,"000157,000725,601668,002241,300433,601877,000776,600887,300274,600760",warm_full_v10_ramp
2020-09-22,8,0.98,0.9339252527083121,0.34726763275371114,68.478,10,"000157,300433,601668,000725,601877,000776,600760,002241,600887,000709",warm_full_v10_ramp
2020-12-23,9,0.98,0.9036645358290913,0.40278179251805074,86.23607999999999,10,"000157,300433,601668,002241,000725,000709,601877,000776,002714,601111",warm_full_v10_ramp
2021-03-25,10,0.98,0.9134508689894045,0.881860630224861,158.26492,10,"601668,000725,601111,601877,000157,600104,600887,600438,600760,000768",warm_full_v10_ramp
2021-06-24,11,0.98,0.9346183706146439,0.8020752803241882,148.26108000000002,10,"601668,000725,000157,600887,600104,600438,000100,000538,601211,600111",warm_full_v10_ramp
2021-09-16,12,0.98,0.9272357873827671,1.0685633397128627,209.30751000000004,10,"000725,601668,600887,600104,601211,601328,600030,600028,601985,600760",warm_full_v10_ramp
2021-12-20,13,0.98,0.8927673186530549,0.7332001868844048,147.75496000000004,10,"601668,600887,601985,600104,601211,600030,600438,600019,000876,002460",warm_full_v10_ramp
2022-03-22,14,0.98,0.9092054734834148,1.0850578045015353,212.65875999999997,10,"601668,000876,600887,601111,601288,600028,600900,002594,601398,601985",warm_full_v10_ramp
2022-06-22,15,0.98,0.8832153096450039,0.5585396549343751,120.33572000000001,10,"000876,601668,601111,600887,600028,601985,600438,002460,000625,002594",warm_full_v10_ramp
2022-09-15,16,0.98,0.890069032705522,0.28094122670242666,68.99860000000001,10,"601668,000876,600438,002460,601111,000625,600887,600028,002594,600030",warm_full_v10_ramp
2022-12-15,17,0.98,0.952585139393427,1.0738895485404056,203.02352,10,"601111,601668,600030,000725,600019,601985,601288,601211,600028,000651",warm_full_v10_ramp
2023-03-17,18,0.98,0.9403495992085682,0.5683462917978989,129.36904,10,"000725,600030,601668,601985,601288,600028,000100,002821,601166,600019",warm_full_v10_ramp
2023-06-15,19,0.98,0.8993712488762702,0.741684286703279,159.02572,10,"601166,000725,601668,600030,601985,600019,000625,002594,600887,002475",warm_full_v10_ramp
2023-09-11,20,0.98,0.9313443363367292,0.6700644688568065,152.00712,10,"601668,000725,002594,601166,000625,600887,600019,600104,601288,000895",warm_full_v10_ramp
2023-12-12,21,0.98,0.9378965116687464,0.7785405025213442,161.01391999999998,10,"000725,600019,600104,600887,000625,601166,000651,000100,601985,002475",warm_full_v10_ramp
2024-03-14,22,0.98,0.9410957363830323,0.8466526236769055,182.47334,10,"600019,600104,600887,000725,002475,000625,002714,000792,601111,601668",warm_full_v10_ramp
2024-06-14,23,0.98,0.9162320819186333,0.5804579095316507,141.69396,10,"600019,600887,002714,000725,600104,002475,601668,002241,002594,300433",warm_full_v10_ramp
2024-09-06,24,0.98,0.9289934899181456,0.7696774870903381,163.95664,10,"002594,600019,002714,000725,002241,601668,600028,603501,601166,000538",warm_full_v10_ramp
2024-12-10,25,0.98,0.9220321066574423,0.5955036768293909,141.92194,10,"002594,002241,600019,603501,000725,600028,000538,601688,601633,000625",warm_full_v10_ramp
2025-03-13,26,0.98,0.9086400005734612,1.0220888937536614,243.96880000000002,10,"002241,002594,000725,000538,600019,600887,002475,002460,600104,601668",warm_full_v10_ramp
2025-06-12,27,0.98,0.8435217045184916,1.1860689975446044,272.38471000000004,9,"000725,600019,601668,603259,002714,002415,600028,000792,300760,600050",warm_full_v10_ramp
2025-09-04,28,0.98,0.926890581870558,0.7149528842227045,188.38694999999998,10,"600019,002714,002415,000725,603259,601668,600887,002594,002460,002241",warm_full_v10_ramp
2025-12-05,29,0.98,0.9061603158288296,0.4220689804415725,120.59143,10,"002714,603259,600019,600887,002415,002241,000725,601668,600104,600028",warm_full_v10_ramp
2025-01-02,1,0.98,0.8412881838320361,0.8412881838320361,88.30628,10,"600019,002241,000725,601633,002475,601688,600028,000625,300433,600887",cold_2025_v9_immediate
2025-04-07,2,0.98,0.7563856518154851,1.0547432425124401,113.13000000000001,9,"002241,600887,603259,600104,000538,600019,000100,600050,600900,600111",cold_2025_v9_immediate
2025-07-04,3,0.98,0.8542622489448689,0.9080292046591726,94.50632000000002,10,"002241,600019,600887,000538,002714,002415,000725,002460,601668,601012",cold_2025_v9_immediate
2025-09-26,4,0.98,0.8614848056202384,0.44538248666731184,61.52548,10,"600887,600019,000725,002714,002415,601668,002241,601012,600028,000100",cold_2025_v9_immediate
2025-12-29,5,0.98,0.9024408746045913,0.4440045105097941,61.74512,10,"002714,600019,600887,002415,002241,600028,000725,601668,600104,600050",cold_2025_v9_immediate
2025-01-02,1,0.95,0.8235175974379048,0.8235175974379048,87.49764,10,"600019,002241,000725,601633,002475,601688,600028,000625,300433,600887",cold_2025_v9_fixed95
2025-04-07,2,0.95,0.6598129267839444,0.93926572720484,98.46968000000001,8,"002241,600887,603259,600104,000538,600019,000100,600050,600900,600111",cold_2025_v9_fixed95
2025-07-04,3,0.95,0.8488884516326723,0.9958912139909804,103.24932000000001,10,"002241,600019,600887,002714,002415,000725,002460,601668,601012,000538",cold_2025_v9_fixed95
2025-09-26,4,0.95,0.8459460716425334,0.43553549959675264,56.013239999999996,10,"600887,600019,000725,002714,002415,601668,002241,601012,600028,000100",cold_2025_v9_fixed95
