case,total_return,annualized_return,max_drawdown,sharpe,start_value,end_value,avg_exposure,avg_cash,avg_holdings
warm_full_v9_total,3.3495160950310376,0.2436414369779516,0.19016090955208564,1.0969534043021334,59908.6636,260573.69656000007,0.9143267456376887,0.08567325436231123,9.964685108887581
warm_full_v9_slice_2025,0.12195147686267616,0.12619233933833884,0.1263393701485137,0.8021576120762836,232250.41540000003,260573.69656000007,0.9010480495936444,0.09895195040635565,9.754098360655737
warm_full_v10_ramp_total,2.968618512246172,0.22685068890215332,0.20597909649814405,1.0807420602413174,59917.01524,237787.77588,0.8968452839059446,0.10315471609405541,9.964685108887581
warm_full_v10_ramp_slice_2025,0.11931677297698795,0.1234610715138531,0.1292707835532797,0.788002528884949,212440.10777000003,237787.77588,0.9014068968528176,0.09859310314718238,9.754098360655737
cold_2025_v9_immediate,0.0803030724266427,0.08339802934893581,0.14683540748035517,0.602418866026809,59911.693719999996,64722.786799999994,0.8348954585176799,0.16510454148232012,9.753086419753087
cold_2025_v9_fixed95,0.07812450649908054,0.08113238793407063,0.1450821244454591,0.5947361261360393,59912.50236,64593.13704,0.8019023946980962,0.1980976053019038,9.506172839506172
cold_2025_v10_ramp_80_90_98,0.10124252190894589,0.10518299379246443,0.11532665947057985,0.8325631254839101,59922.55868,65989.26964,0.7316086683247666,0.26839133167523344,9.506172839506172
cold_2025_v10_ramp_70_85_98,0.1210919077838708,0.125848053757186,0.1128777151669812,0.990624110714933,59923.83548,67180.12704,0.730967335919944,0.26903266408005594,9.753086419753087
