month,start_value,end_value,return,avg_exposure,min_drawdown_in_full_run
2025-01,165629.98,160653.98,-0.03004287025815011,0.894473526811809,-0.11899231499699414
2025-02,160653.98,165856.98,0.03238637474154071,0.8974267977205209,-0.0994590164964394
2025-03,165856.98,165152.83,-0.004245525271230788,0.924214673359028,-0.06520442578922936
2025-04,165152.83,159878.56,-0.03193569253400008,0.935105951213937,-0.1326002488104132
2025-05,159878.56,165603.56,0.035808428597305264,0.9335111065083105,-0.0827468674130526
2025-06,165603.56,169552.39,0.023845079175834227,0.9304061038993016,-0.06237586152968655
2025-07,169552.39,169894.24,0.002016190983801458,0.9226602521196383,-0.0383671679383123
2025-08,169894.24,170098.85,0.00120433747489046,0.9191538860282991,-0.03804453739222946
2025-09,170098.85,169302.11,-0.004683982284418797,0.9240278655242217,-0.05374662645897643
2025-10,169302.11,176512.22,0.042587242415348614,0.923875025822202,-0.04573180447207836
2025-11,176512.22,177366.22,0.0048381919393456485,0.9229575115269002,-0.06705558044463455
2025-12,177366.22,175375.34,-0.01122468528674736,0.8936464238858245,-0.06809093750164397
