code,name,sell_trades,realized_pnl,sell_amount,fee,realized_pnl_rate,held_days,avg_value,last_float_pnl
000725.XSHE,京东方A,5.0,-5116.799999999999,19550.0,34.769999999999996,-0.26172890025575446,549,9909.24408014572,340.0
002027.XSHE,分众传媒,8.0,-4606.52,52625.0,66.31,-0.0875348218527316,450,8537.1,-84.0
000895.XSHE,双汇发展,4.0,-3997.0,22385.0,31.18,-0.17855706946616037,250,6929.856,116.0
002466.XSHE,天齐锂业,1.0,-3442.1,5267.0,7.63,-0.6535219289918359,250,7091.348,-3365.1
600438.XSHG,通威股份,4.0,-2063.4,33922.0,36.97,-0.060827781380814815,599,8776.290484140234,-790.0
600570.XSHG,恒生电子,1.0,-1710.0,5934.0,7.97,-0.28816986855409504,100,6817.86,-1602.0
601818.XSHG,光大银行,3.0,-1219.0,15799.0,22.89,-0.07715678207481486,250,8356.436,-380.0
601669.XSHG,中国电建,1.0,-1120.0,6762.0,8.38,-0.16563146997929606,50,7132.16,-1078.0
600019.XSHG,宝钢股份,3.0,-1078.0,24065.0,27.04,-0.044795345938084354,300,7559.596666666666,260.0
300017.XSHE,网宿科技,1.0,-1020.0,6830.0,8.41,-0.1493411420204978,50,7224.4,-1020.0
601877.XSHG,正泰电器,1.0,-824.0,4720.0,7.36,-0.17457627118644067,50,5289.48,-748.0
601601.XSHG,中国太保,1.0,-762.0,6754.0,8.38,-0.11282203138880663,50,7187.12,-898.0
000039.XSHE,中集集团,4.0,-730.4,41328.5,40.67,-0.01767303434675829,350,9446.934285714286,790.1
601989.XSHG,中国重工,1.0,-688.0,13056.0,11.53,-0.05269607843137255,100,11375.83,-656.0
601211.XSHG,国泰君安,1.0,-685.0,8150.0,9.07,-0.08404907975460123,50,8237.3,-620.0
002241.XSHE,歌尔股份,1.0,-562.0,10248.0,10.12,-0.054839968774395,100,8482.12,-700.0
000792.XSHE,盐湖股份,1.0,-318.0,5751.0,7.88,-0.05529473135106938,50,5858.64,-324.0
600887.XSHG,伊利股份,6.0,-31.0,36044.0,48.010000000000005,-0.0008600599267561869,500,5933.906,300.0
600016.XSHG,民生银行,7.0,2.7999999999999545,52390.0,61.19,5.344531399121883e-05,449,8820.779510022272,-783.0
601985.XSHG,中国核电,1.0,9.0,4572.0,7.29,0.001968503937007874,50,4467.42,45.0
601229.XSHG,上海银行,1.0,40.0,4695.0,7.35,0.008519701810436636,50,4664.2,35.0
600028.XSHG,中国石化,1.0,96.0,6672.0,8.34,0.014388489208633094,50,6580.48,80.0
601668.XSHG,中国建筑,5.0,96.20999999999992,30089.0,40.04,0.0031975140416763575,600,7827.026666666667,690.0
600585.XSHG,海螺水泥,1.0,131.0,3820.0,6.91,0.03429319371727749,50,3979.5,246.0
002475.XSHE,立讯精密,1.0,172.0,6394.0,8.2,0.026900218955270568,50,6271.28,384.0
000001.XSHE,平安银行,4.0,288.4,21368.0,30.69,0.013496817671284161,400,8683.105,310.4
600760.XSHG,中航沈飞,1.0,550.0,9286.0,9.64,0.05922894680163687,50,8333.92,784.0
000776.XSHE,广发证券,1.0,612.0,8262.0,9.13,0.07407407407407407,100,8141.16,582.0
000538.XSHE,云南白药,3.0,739.2,16160.0,23.08,0.04574257425742575,150,5347.546666666667,252.5
000709.XSHE,河钢股份,2.0,757.0,12233.0,16.12,0.06188179514428186,100,6062.28,-627.0
600745.XSHG,闻泰科技,1.0,854.0,8198.0,9.1,0.10417174920712369,50,8384.76,854.0
601328.XSHG,交通银行,1.0,972.0,13257.0,11.63,0.07331975560081466,50,12513.42,1026.0
