code,name,sell_trades,realized_pnl,sell_amount,fee,realized_pnl_rate,held_days,avg_value,last_float_pnl
601012.XSHG,隆基股份,1.0,984.0,6628.0,8.31,0.14846107423053712,399,10793.609022556391,1653.0
600000.XSHG,浦发银行,1.0,1049.0,11638.0,10.82,0.09013576215844647,100,10236.18,1137.0
000876.XSHE,新希望,4.0,1081.0,28391.0,34.19,0.038075446444295724,300,8275.403333333334,-1964.0
600795.XSHG,国电电力,5.0,1193.01,27590.0,38.8,0.043240666908300106,450,9153.988888888889,1156.67
600690.XSHG,海尔智家,1.0,1296.0,6884.0,8.44,0.1882626380011621,50,5836.6,1062.0
600104.XSHG,上汽集团,6.0,1387.0,35314.0,47.66,0.03927620773630855,400,6787.15,-392.0
601225.XSHG,陕西煤业,3.0,1525.0,21322.0,25.660000000000004,0.07152237125973174,200,6941.505,928.0
002422.XSHE,科伦药业,5.0,1543.66,33706.0,41.86,0.04579778081053819,300,7329.926666666666,-321.34
601166.XSHG,兴业银行,3.0,1577.6,21228.0,25.619999999999997,0.07431693989071038,150,6881.113333333334,800.0
601336.XSHG,新华保险,3.0,1743.0,14697.0,22.35,0.118595631761584,150,4529.02,405.0
300142.XSHE,沃森生物,1.0,1767.0,7287.0,8.64,0.24248662000823384,100,6752.07,1920.0
601766.XSHG,中国中车,5.0,1873.0,34462.0,42.230000000000004,0.054349718530555396,350,7671.9742857142855,585.0
600346.XSHG,恒力石化,2.0,2262.48,15246.0,17.62,0.1483982683982684,150,6810.913333333333,-35.0
000338.XSHE,潍柴动力,10.0,2302.24,48999.0,74.52,0.04698544868262617,899,9162.1212458287,3482.72
600809.XSHG,山西汾酒,1.0,2356.0,5780.0,7.89,0.4076124567474048,50,4400.54,2427.0
002007.XSHE,华兰生物,1.0,2476.0,9308.0,9.65,0.2660077352814783,50,7641.2,2736.0
002236.XSHE,大华股份,9.0,2684.3999999999996,65048.0,77.52,0.04126798671750092,849,9128.666666666666,-346.8
601688.XSHG,华泰证券,2.0,3139.0,12249.0,16.12,0.25626581761776474,150,7722.513333333333,1984.0
000100.XSHE,TCL科技,13.0,3401.01,47764.0,88.89,0.07120446361276275,1149,9679.154395126197,1073.0
601009.XSHG,南京银行,5.0,4757.9,47399.0,48.7,0.10037975484714867,350,7947.22,909.3
000157.XSHE,中联重科,9.0,4834.41,64289.0,77.15,0.07519808987540637,700,8632.372857142856,456.0
000651.XSHE,格力电器,10.0,5072.73,56457.0,78.22,0.08985121419841649,899,7311.708565072303,-476.58
600196.XSHG,复星医药,1.0,5398.0,13580.0,11.79,0.3974963181148748,50,11779.6,5500.0
600031.XSHG,三一重工,4.0,5429.1,19368.0,29.68,0.2803128872366791,300,7684.9366666666665,1470.0
601111.XSHG,中国国航,7.0,5624.84,73306.0,71.65,0.0767309633590702,400,9830.2225,2080.0
000625.XSHE,长安汽车,1.0,5985.0,13255.0,11.63,0.45152772538664654,50,10194.8,5995.0
300274.XSHE,阳光电源,2.0,8291.07,22438.0,21.22,0.36951020590070416,100,9403.92,7964.07
601919.XSHG,中远海控,7.0,12912.21,42880.0,56.43,0.3011243003731343,1099,11189.44085532302,1416.29
300015.XSHE,爱尔眼科,,,,,,49,9314.448979591836,-992.0
