date,stock_value,holdings,day_pnl,max_weight,total_value,cash,exposure,cash_ratio,ret,equity,drawdown
2019-01-02,49935.0,10,-45.0,11.36,59905.0,9970.0,0.8335698188798931,0.16643018112010682,0.0,0.9984166666666666,0.0
2019-01-03,49553.0,10,-382.0,11.33,59523.0,9970.0,0.8325017220234195,0.16749827797658048,-0.006376763208413294,0.99205,-0.006376763208413294
2019-01-04,50589.0,10,1036.0,11.31,60559.0,9970.0,0.8353671626017602,0.16463283739823972,0.017405036708499244,1.0093166666666666,0.0
2019-01-07,50692.0,10,103.0,11.36,60662.0,9970.0,0.8356466980976559,0.16435330190234412,0.0017008206872637377,1.0110333333333332,0.0
2019-01-08,50872.0,10,180.0,11.33,60842.0,9970.0,0.8361329344860459,0.16386706551395416,0.0029672612178959223,1.0140333333333333,0.0
2019-01-09,51382.0,10,510.0,11.38,61352.0,9970.0,0.8374951101838571,0.16250488981614292,0.008382367443542371,1.0225333333333333,0.0
2019-01-10,51273.0,10,-109.0,11.49,61243.0,9970.0,0.837205884754176,0.16279411524582402,-0.0017766331985917816,1.0207166666666667,-0.0017766331985916706
2019-01-11,51485.0,10,212.0,11.57,61455.0,9970.0,0.8377674721340819,0.16223252786591816,0.003461620103522023,1.02425,0.0
2019-01-14,51120.0,10,-365.0,11.8,61090.0,9970.0,0.8367981666393846,0.16320183336061547,-0.005939305182653953,1.0181666666666667,-0.005939305182654064
2019-01-15,52048.0,10,928.0,11.78,62018.0,9970.0,0.8392402205811216,0.1607597794188784,0.015190702242593002,1.0336333333333334,0.0
2019-01-16,52458.0,10,410.0,11.71,62428.0,9970.0,0.8402960210162107,0.15970397898378932,0.006610983907897605,1.0404666666666667,0.0
2019-01-17,52305.0,10,-153.0,11.92,62275.0,9970.0,0.8399036531513449,0.16009634684865515,-0.002450823348497444,1.0379166666666666,-0.002450823348497555
2019-01-18,53112.0,10,807.0,11.74,63082.0,9970.0,0.8419517453473258,0.1580482546526743,0.012958651144118871,1.0513666666666666,0.0
2019-01-21,53363.0,10,251.0,11.75,63333.0,9970.0,0.8425781188322043,0.15742188116779562,0.003978948035889829,1.05555,0.0
2019-01-22,52717.0,10,-646.0,11.77,62687.0,9970.0,0.8409558600666804,0.1590441399333195,-0.01020005368449306,1.0447833333333334,-0.01020005368449306
2019-01-23,52807.0,10,90.0,11.94,62777.0,9970.0,0.8411838730745337,0.15881612692546634,0.001435704372517499,1.0462833333333332,-0.008778993573650418
2019-01-24,52990.0,10,183.0,11.91,62960.0,9970.0,0.8416454891994918,0.15835451080050825,0.0029150803638275935,1.0493333333333332,-0.005889504681603652
2019-01-25,53526.0,10,536.0,12.19,63496.0,9970.0,0.8429822351014237,0.1570177648985763,0.008513341804320174,1.0582666666666667,0.0
2019-01-28,53680.0,10,154.0,12.1,63650.0,9970.0,0.843362136684996,0.15663786331500393,0.0024253496283230813,1.0608333333333333,0.0
2019-01-29,54037.0,10,357.0,12.37,64007.0,9970.0,0.8442357867108286,0.1557642132891715,0.005608798114689728,1.0667833333333334,0.0
2019-01-30,53548.0,10,-489.0,12.36,63518.0,9970.0,0.8430366195409176,0.15696338045908245,-0.007639789398034558,1.0586333333333333,-0.007639789398034669
2019-01-31,53983.0,10,435.0,12.45,63953.0,9970.0,0.8441042640689256,0.1558957359310744,0.006848452407191674,1.0658833333333333,-0.0008436577249364419
2019-02-01,54787.0,10,804.0,12.47,64757.0,9970.0,0.8460398103679911,0.1539601896320089,0.012571732365956212,1.0792833333333334,0.0
2019-02-11,55562.0,10,775.0,12.44,65532.0,9970.0,0.8478605871940426,0.15213941280595739,0.011967818150933507,1.0922,0.0
2019-02-12,56697.0,10,1135.0,12.61,66667.0,9970.0,0.8504507477462613,0.14954925225373872,0.017319782701580966,1.1111166666666668,0.0
2019-02-13,57692.0,10,995.0,12.49,67662.0,9970.0,0.8526499364488191,0.14735006355118088,0.014924925375373155,1.1277,0.0
2019-02-14,57742.0,10,50.0,12.49,67712.0,9970.0,0.8527587429111532,0.1472412570888469,0.0007389672194142438,1.1285333333333334,0.0
2019-02-15,56567.0,10,-1175.0,12.11,66537.0,9970.0,0.8501585583960803,0.14984144160391963,-0.017352906427221204,1.10895,-0.017352906427221093
2019-02-18,58700.0,10,2133.0,12.74,68670.0,9970.0,0.854812873161497,0.145187126838503,0.032057351548762325,1.1445,0.0
2019-02-19,58260.0,10,-440.0,12.68,68230.0,9970.0,0.8538765938736627,0.1461234061263374,-0.00640745594874037,1.1371666666666667,-0.00640745594874037
2019-02-20,57986.0,10,-274.0,12.66,67956.0,9970.0,0.8532874212725882,0.14671257872741186,-0.004015828814304512,1.1326,-0.010397553516819591
2019-02-21,57549.0,10,-437.0,12.72,67519.0,9970.0,0.8523378604540944,0.1476621395459056,-0.006430631585143343,1.1253166666666667,-0.01676132226590943
2019-02-22,57888.0,10,339.0,12.6,67858.0,9970.0,0.8530755400984409,0.14692445990155914,0.005020808957478584,1.1309666666666667,-0.011824668705402663
2019-02-25,60797.0,10,2969.0,12.61,70815.0,10018.0,0.858532796723858,0.14146720327614207,0.043576291667894784,1.18025,0.0
2019-02-26,60814.0,10,17.0,12.2,70832.0,10018.0,0.8585667494917552,0.14143325050824487,0.00024006213372862462,1.1805333333333334,0.0
2019-02-27,60284.0,10,-530.0,12.14,70302.0,10018.0,0.8575004978521237,0.1424995021478763,-0.007482493788118383,1.1717,-0.007482493788118494
2019-02-28,60533.0,10,249.0,12.2,70551.0,10018.0,0.8580034301427336,0.14199656985726639,0.003541862251429606,1.17585,-0.003967133498983588
2019-03-01,62057.0,10,1524.0,12.52,72075.0,10018.0,0.8610058966354491,0.13899410336455081,0.0216013947357232,1.20125,0.0
2019-03-04,63601.0,10,1544.0,13.02,73619.0,10018.0,0.8639209986552384,0.13607900134476153,0.021422129725979788,1.2269833333333333,0.0
2019-03-05,65093.0,10,1492.0,13.06,75111.0,10018.0,0.8666240630533477,0.13337593694665228,0.020266507287520774,1.25185,0.0
2019-03-06,66065.0,10,972.0,12.68,76083.0,10018.0,0.8683280101993875,0.13167198980061248,0.012940847545632517,1.26805,0.0
2019-03-07,65169.0,10,-896.0,12.62,75187.0,10018.0,0.8667588811895673,0.13324111881043266,-0.011776612383843976,1.2531166666666667,-0.011776612383843865
2019-03-08,62354.0,10,-2815.0,12.81,72372.0,10018.0,0.861576300226607,0.13842369977339303,-0.03743998297578044,1.2062,-0.04877567919246084
2019-03-11,64135.0,10,1781.0,12.67,74153.0,10018.0,0.8649009480398635,0.13509905196013647,0.024608964793013888,1.2358833333333332,-0.025367033371449632
2019-03-12,64325.0,10,190.0,12.71,74343.0,10018.0,0.8652462235852737,0.13475377641472633,0.0025622699014200556,1.23905,-0.02286976065612545
2019-03-13,63182.0,10,-1143.0,12.58,73200.0,10018.0,0.8631420765027322,0.13685792349726775,-0.015374682216214075,1.22,-0.037892827569890764
2019-03-14,62893.0,10,-289.0,12.57,72911.0,10018.0,0.8625996077409445,0.13740039225905556,-0.003948087431693947,1.2151833333333333,-0.04169131080530475
2019-03-15,64206.0,10,1313.0,12.94,74224.0,10018.0,0.8650301789178703,0.13496982108212977,0.01800825664165906,1.2370666666666668,-0.024433841988354632
2019-03-18,66487.0,10,2281.0,13.46,76505.0,10018.0,0.8690543101758055,0.1309456898241945,0.030731299849105387,1.2750833333333333,0.0
2019-03-19,66026.0,10,-461.0,13.27,76044.0,10018.0,0.8682604807742885,0.13173951922571142,-0.006025749950983594,1.2674,-0.006025749950983594
2019-03-20,62386.0,10,477.0,11.16,76259.44,13873.440000000002,0.818075768717945,0.18192423128205507,0.002833096628267917,1.2709906666666666,-0.0032097248545847057
2019-03-21,62434.0,10,48.0,11.06,76307.44,13873.440000000002,0.818190205306324,0.18180979469367603,0.0006294302711900013,1.2717906666666667,-0.0025823148813802765
2019-03-22,62938.0,10,504.0,10.84,76811.44,13873.440000000002,0.8193831543842948,0.18061684561570518,0.006604860548329317,1.2801906666666667,0.0
2019-03-25,61963.0,10,-975.0,10.46,75836.44,13873.440000000002,0.8170610329282334,0.18293896707176657,-0.012693421709057962,1.2639406666666666,-0.012693421709057962
2019-03-26,61374.0,10,-589.0,10.46,75247.44,13873.440000000002,0.8156290765506441,0.1843709234493559,-0.007766714787772244,1.254124,-0.020361550310734944
2019-03-27,62430.0,10,1056.0,10.8,76303.44,13873.440000000002,0.8181806744230666,0.1818193255769334,0.014033700016904183,1.271724,-0.00661359818277063
2019-03-28,62272.0,10,-158.0,10.52,76145.44,13873.440000000002,0.8178034035918631,0.18219659640813687,-0.002070679906436723,1.2690906666666668,-0.008670583444341018
2019-03-29,64071.0,10,1799.0,10.64,77944.44,13873.440000000002,0.8220085999719801,0.17799140002802,0.023625840234162476,1.299074,0.0
2019-04-01,66248.0,10,2177.0,10.64,80121.44,13873.440000000002,0.826844849518431,0.17315515048156901,0.02793015127185461,1.3353573333333333,0.0
