date,factors,candidate_count,score_count,targets,target_count,factor_columns
2019-01-02,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",132,130,"000338.XSHE,601009.XSHG,002422.XSHE,000709.XSHE,300142.XSHE,601336.XSHG,600809.XSHG,000651.XSHE,000100.XSHE,600795.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-03-20,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",134,132,"000338.XSHE,002027.XSHE,300142.XSHE,600104.XSHG,002236.XSHE,601111.XSHG,000100.XSHE,600585.XSHG,000876.XSHE,000895.XSHE",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-06-04,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",134,133,"000100.XSHE,000776.XSHE,600104.XSHG,600031.XSHG,601766.XSHG,000338.XSHE,600019.XSHG,000709.XSHE,601668.XSHG,000157.XSHE",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-08-14,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",135,134,"000100.XSHE,000776.XSHE,600031.XSHG,000338.XSHE,600019.XSHG,600104.XSHG,601225.XSHG,601766.XSHG,601668.XSHG,601009.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-10-31,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",138,137,"000100.XSHE,601336.XSHG,601009.XSHG,600019.XSHG,600031.XSHG,601668.XSHG,000157.XSHE,002236.XSHE,601229.XSHG,601985.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-01-10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",140,138,"000100.XSHE,600019.XSHG,601766.XSHG,601668.XSHG,600031.XSHG,601877.XSHG,000157.XSHE,601012.XSHG,688036.XSHG,600104.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-03-30,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",143,140,"000338.XSHE,002236.XSHE,601668.XSHG,600031.XSHG,000100.XSHE,000157.XSHE,601336.XSHG,601012.XSHG,600887.XSHG,601009.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-06-12,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",144,143,"601009.XSHG,000338.XSHE,601668.XSHG,600019.XSHG,601766.XSHG,601111.XSHG,600104.XSHG,600346.XSHG,601166.XSHG,000100.XSHE",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-08-25,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",146,142,"601111.XSHG,000651.XSHE,000338.XSHE,600016.XSHG,000157.XSHE,601766.XSHG,600104.XSHG,002236.XSHE,000100.XSHE,601668.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-11-11,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",149,148,"601919.XSHG,000157.XSHE,601766.XSHG,002236.XSHE,601668.XSHG,600000.XSHG,300017.XSHE,601225.XSHG,600690.XSHG,600028.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
