date,factors,candidate_count,score_count,targets,target_count,factor_columns
2019-01-02,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",86,85,"000100.XSHE,600104.XSHG,601166.XSHG,600016.XSHG,600196.XSHG,000651.XSHE",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-02-20,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",86,85,"000876.XSHE,601877.XSHG,000100.XSHE,000709.XSHE,600016.XSHG,600196.XSHG",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-04-03,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",85,84,"600104.XSHG,000100.XSHE,000876.XSHE,600016.XSHG,000725.XSHE,300274.XSHE",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-05-21,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",84,84,"000100.XSHE,600104.XSHG,000895.XSHE,600000.XSHG,601166.XSHG,300274.XSHE",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-07-03,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",86,86,"000100.XSHE,000895.XSHE,600000.XSHG,601166.XSHG,300274.XSHE,600104.XSHG",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-08-14,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",85,85,"000100.XSHE,000625.XSHE,601877.XSHG,600104.XSHG,300274.XSHE,000776.XSHE",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-09-26,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",87,86,"000100.XSHE,000895.XSHE,600104.XSHG,300274.XSHE,000709.XSHE,600028.XSHG",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-11-14,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",87,87,"000100.XSHE,601668.XSHG,600104.XSHG,601012.XSHG,000895.XSHE,600000.XSHG",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2019-12-26,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",88,87,"600019.XSHG,600104.XSHG,601668.XSHG,000895.XSHE,000100.XSHE,601012.XSHG",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
2020-02-17,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud",89,87,"600104.XSHG,600019.XSHG,601668.XSHG,600025.XSHG,600690.XSHG,601166.XSHG",6,"earnings_yield,cashflow_yield,sales_yield,growth_peg_proxy,amihud"
