factor_name,factors,weights,top_n,rebalance_days,industry_cap,filter_mode,total_return,annualized_return,max_drawdown,sharpe,final_value,avg_turnover,avg_holdings,avg_fee,avg_cash,avg_skipped_slots
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,50,2,mom120_gt_neg20,3.188600655230929,0.23670708638019433,0.2184592931767061,1.2011855691564914,250937.85743,0.5942794895215158,10.0,120.44536970588234,0.09872851299740967,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,50,2,none,3.223433455504443,0.2382271459809946,0.2184592931767061,1.2002125222593845,253024.6804499999,0.5796271102739613,10.0,116.21528088235294,0.09915321587424841,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,40,2,not_deep_downtrend,3.9192918899410962,0.2665570358524383,0.21698676737607414,1.1880153808214633,294761.20560000004,0.714413799693639,8.0,134.367311627907,0.09393079199217373,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",10,60,1,mom120_gt_neg10,3.1407986428699344,0.23460344530169674,0.14190771018480663,1.1686363907570105,248074.66631999996,0.8338444667854273,10.0,162.90805793103448,0.10904044294854848,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,8,50,2,not_deep_downtrend,3.3975457037188317,0.2456688270429066,0.24713325508447825,1.1651230041397396,263495.48948,0.6678196813603134,8.0,125.36795647058823,0.08671427906409365,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",8,50,2,not_deep_downtrend,3.438061724149593,0.24736444725125395,0.23637117971427257,1.1508921327247035,265923.15922,0.6687372084383033,8.0,124.05414058823531,0.08481754890506896,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,30,2,mom120_gt_neg20,3.145331577042188,0.2348038129415866,0.19839786604601206,1.1424654764071003,248383.5977999999,0.6291362117519922,8.0,114.35793333333332,0.09342642834043574,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,8,50,2,none,3.5534898141520053,0.25212391607551043,0.2517937593039513,1.1394063940476011,272839.71304999996,0.6834125033482856,8.0,127.5672632352941,0.08344942602860357,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,50,2,not_deep_downtrend,2.9734448290496824,0.2270718712924209,0.2178927781934905,1.1387045102439632,238047.86446999994,0.6238512548469434,10.0,120.29810382352942,0.10016628798490686,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,30,2,not_deep_downtrend,3.165675596012316,0.2357007805727782,0.18725587861173698,1.1345530843553908,249604.94077000004,0.6126705928554531,8.0,113.0536707017544,0.09457224787682113,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,12,50,2,none,2.8635557692261835,0.22197812594216138,0.22220956262315483,1.133501274146408,231430.05484000008,0.49512186089157084,12.0,110.67485764705883,0.11634339499596733,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",10,50,2,none,3.3913190832961133,0.2454070607035661,0.2134939050131579,1.1274908246963673,263083.3274799999,0.5992355106017941,10.0,120.43154470588236,0.11178172708195074,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",10,40,2,mom120_gt_neg20,3.133392722864592,0.23427568182398795,0.2119793714659829,1.1247933382750637,247635.39861000003,0.5964662657656308,10.0,120.45584627906979,0.11202603785370313,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",10,40,2,none,2.9800463550178757,0.22737403844849724,0.17530213623830215,1.1202486255994333,238444.03440999996,0.5565786179726968,10.0,110.02245558139532,0.11419192300110703,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",8,50,2,none,3.2125908807444628,0.23775513779561774,0.24221554586545713,1.1162635371454424,252413.45298,0.6502050753921207,8.0,117.5455005882353,0.08689518544430967,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,12,60,2,mom120_gt_neg10,2.811431939275533,0.21951872977378661,0.16280867550920508,1.1064581235519997,228306.6113400001,0.695455749048719,12.0,140.8409882758621,0.11606478812192679,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,12,50,2,mom120_gt_neg20,2.736471568673721,0.2159311158368935,0.22063178719831822,1.1061557065394645,223814.72527999996,0.5351723518375278,12.0,116.89043294117647,0.11585811520441545,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,8,50,1,none,3.5216837052184333,0.25082279979945454,0.2649014381846989,1.096340678859273,270931.3204099999,0.6923950092485391,8.0,125.8141055882353,0.08233940221460533,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,40,2,mom120_gt_neg20,3.289805196864603,0.24109420737258902,0.22040765344017232,1.0914050567003362,257040.29432999998,0.6717061582421682,8.0,123.7140853488372,0.09280429833879712,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,8,30,2,not_deep_downtrend,3.185620742596372,0.23657654740572487,0.19190886752376135,1.0909053859079882,250797.20841000005,0.531918197181908,8.0,100.7331857894737,0.08871057086590722,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,12,40,2,not_deep_downtrend,2.5780809294569367,0.20814427253932744,0.20321446814732103,1.0905236825918854,214331.87607999996,0.6262621220027601,11.976744186046512,119.32846325581396,0.13278750795150163,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",12,50,2,none,2.417460360584052,0.19994200943253881,0.1930891497339592,1.0893671064722172,204705.82255999994,0.5048745616403104,12.0,104.5346305882353,0.12206330441135446,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,60,1,none,3.4352832987178292,0.24724859039480918,0.2207317584182058,1.0879591231519727,265754.36029,0.7815976079383495,8.0,149.1944727586207,0.09479299149698539,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,10,50,1,none,2.8745082519056053,0.2224913090037448,0.24056110172173162,1.087456032927553,232120.46305000005,0.5758394057863458,10.0,110.721675,0.10379083276002994,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",12,50,2,none,2.887721085453096,0.22310876001185131,0.19611071062162988,1.0852856909681596,232877.60304000002,0.5724943168508412,11.970588235294118,121.15873411764706,0.12452584231680718,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",12,60,2,not_deep_downtrend,2.6225546974923035,0.21035987833069103,0.1608429797989821,1.0800932074978615,216995.91479999997,0.6591607000869453,11.96551724137931,134.6581103448276,0.129602387550536,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,12,40,2,mom120_gt_neg20,2.663167463439231,0.212362990469515,0.2246917260476291,1.0780459901317303,219423.80784,0.47988888284125797,12.0,101.65563162790698,0.12257793533863086,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,10,60,1,mom120_gt_neg10,2.6098848085704343,0.2097310569801698,0.1650942114312549,1.0775598010096827,216267.69291999994,0.739313973865413,10.0,139.07955448275862,0.11061076108890934,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,12,40,1,not_deep_downtrend,2.308189528804011,0.19417222749122187,0.22868761484306843,1.0758586246576682,198163.21427999996,0.645930174944785,11.953488372093023,119.04152837209303,0.13897651824950824,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,10,50,2,mom120_gt_neg20,2.837079419966976,0.22073242900566892,0.21825719639430274,1.0757396893374866,229878.32158999998,0.5408230152618868,9.970588235294118,109.57877676470588,0.10490697481782588,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",12,40,2,none,2.587309932813792,0.2086059663848887,0.19076767725931798,1.0753737621750294,214882.73468000002,0.4986328510130024,12.0,103.1224493023256,0.13294722115728036,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,8,30,2,mom120_gt_neg10,2.740548164306239,0.21612779139981586,0.1972966745318837,1.0749241289868365,224127.71185000005,0.6999346963794794,8.0,121.77698508771932,0.08906637439357463,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",10,30,2,not_deep_downtrend,2.7075816027708965,0.21453205724787439,0.20446167778971414,1.073024537082739,222124.59395,0.5563375347901441,10.0,106.02466754385962,0.11490987270417846,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,8,50,1,none,2.596024414457659,0.2090409929030146,0.22024286181830022,1.0718946115220804,215469.6495,0.7136813263761967,8.0,118.0397205882353,0.09177161172399037,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,10,40,2,not_deep_downtrend,2.718923392952614,0.21508241107197623,0.21557668247819683,1.0716099261843428,222807.79350000003,0.680839024704802,9.976744186046512,122.44666279069769,0.13047120449630006,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,12,60,2,mom120_gt_neg10,2.65322116591887,0.21187417244899076,0.14301369010735188,1.071328775342618,218830.86193999997,0.6950240420187987,11.96551724137931,141.48751931034482,0.13293628823987075,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,10,60,2,mom120_gt_neg10,2.7706564589405493,0.21757474130206966,0.17141590988377187,1.070330028562167,225904.27708,0.7472580974226871,10.0,140.23182482758622,0.12083865453008283,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,12,40,2,mom120_gt_neg20,2.4518265570414375,0.20172415492762297,0.2210224517406696,1.0700286155334333,206768.44967999993,0.5936799703776784,11.976744186046512,117.19884465116277,0.138316182951604,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,50,2,mom120_gt_neg20,3.6300261564197074,0.25522340587066017,0.20935983757971388,1.0690469801630902,277425.95092,0.6707383116489611,8.0,125.08967882352943,0.08894860945335546,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,50,2,not_deep_downtrend,3.3140385496846347,0.24213160557208124,0.19919159798107688,1.0670300569546858,258494.76557999998,0.6864624032618041,8.0,121.33042411764708,0.09343879953232065,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,30,1,none,2.95876660408472,0.22639847965523385,0.2570282645313614,1.066257474964286,237202.31957000002,0.5562874695137072,8.0,99.06456894736843,0.09857797810947792,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,40,1,none,2.81764344872758,0.2198133098836652,0.17785012530195854,1.06599806702309,228746.4687599999,0.6909239768386773,8.0,121.50072651162792,0.09664182664852583,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,8,50,2,mom120_gt_neg20,2.7939972450563233,0.21868970149941536,0.24135699586363413,1.065301088328388,227331.81842999993,0.6895748393842834,8.0,124.06416382352943,0.08421988744273387,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",8,50,2,mom120_gt_neg20,2.860121401893872,0.22181695208218777,0.24221554586545713,1.0644732827380547,231293.89954000013,0.625144261217772,8.0,108.59119,0.08867837652158675,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",12,30,2,none,2.5960316033148336,0.20904135139961522,0.1815158162829369,1.0642062265787813,215405.16971999995,0.4511834309788109,11.982456140350877,96.55842596491229,0.12955603810191565,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",10,40,2,not_deep_downtrend,2.8064130639181757,0.2192804113954765,0.2085635646674303,1.0637384886743406,228045.67689,0.6273579165146166,9.976744186046512,118.12379325581394,0.11635421852207511,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,8,40,2,mom120_gt_neg10,3.0966454108874615,0.23264192145296714,0.22625220018377512,1.0634018158046161,245474.63756000006,0.7373525414360405,8.0,131.58982418604654,0.10998296327312593,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",12,60,1,mom120_gt_neg20,2.447893638955543,0.20152097130460223,0.15504588125312124,1.0633162673678267,206535.45748,0.6878673354535904,11.89655172413793,135.46698344827587,0.1317555127764756,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,12,60,2,not_deep_downtrend,2.548440348174401,0.20665456951228323,0.1463047416437644,1.0632234358416572,212555.52116000003,0.610244747449154,12.0,126.18892551724137,0.11389170249503011,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,30,2,not_120dd25,2.6892865454972386,0.21364127078511386,0.18823498145885653,1.063141276720073,221058.65035000007,0.6057876818553555,8.0,104.76052017543859,0.09288955542275829,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,30,2,none,3.0316700334926807,0.229722365693672,0.2111075867195139,1.0624935218794374,241573.73898,0.5378726526166748,8.0,102.2326494736842,0.09471377864572407,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,12,40,2,not_deep_downtrend,2.5830558787714084,0.2083932771953756,0.20603613264652565,1.0622545809315107,214629.02991999994,0.4996507805963157,12.0,103.8597693023256,0.12003674785526444,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",12,60,2,mom120_gt_neg10,2.6549377380511703,0.2119586154971269,0.16840035968458544,1.0615101362026607,218933.68598,0.6661606265290021,12.0,137.32117310344827,0.1251305296586022,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,8,40,1,none,3.079417268751552,0.23187166873086285,0.2276823200725029,1.0606967117885957,244432.88067,0.5822660416077391,8.0,100.7702169767442,0.1093324021134335,0.0
