date,stock_value,holdings,day_pnl,max_weight,total_value,cash,exposure,cash_ratio,ret,equity,drawdown
2019-01-02,50523.0,6,-166.0,15.53,59804.0,9281.0,0.8448097117249682,0.15519028827503176,0.0,0.9967333333333334,0.0
2019-01-03,50357.0,6,-166.0,15.7,59638.0,9281.0,0.8443777457325866,0.15562225426741338,-0.0027757340646110684,0.9939666666666667,-0.0027757340646110684
2019-01-04,51340.0,6,983.0,15.69,60621.0,9281.0,0.8469012388446248,0.1530987611553752,0.01648277943593013,1.01035,0.0
2019-01-07,51536.0,6,196.0,16.18,60817.0,9281.0,0.8473946429452291,0.15260535705477088,0.0032332030154567093,1.0136166666666666,0.0
2019-01-08,52212.0,6,676.0,17.09,61493.0,9281.0,0.8490722521262583,0.15092774787374172,0.011115313152572526,1.0248833333333334,0.0
2019-01-09,52840.0,6,628.0,16.8,62121.0,9281.0,0.8505980264322853,0.14940197356771462,0.010212544517262057,1.03535,0.0
2019-01-10,52299.0,6,-541.0,16.16,61580.0,9281.0,0.8492854822994479,0.15071451770055214,-0.008708810225205643,1.0263333333333333,-0.008708810225205643
2019-01-11,52571.0,6,272.0,16.39,61852.0,9281.0,0.8499482635969734,0.15005173640302658,0.0044170185125040895,1.0308666666666666,-0.004330258688688304
2019-01-14,51853.0,6,-718.0,16.34,61134.0,9281.0,0.8481859521706415,0.15181404782935845,-0.01160835542908878,1.0189,-0.015888346935818864
2019-01-15,52869.0,6,1016.0,16.25,62150.0,9281.0,0.8506677393403057,0.1493322606596943,0.016619229888441778,1.0358333333333334,0.0
2019-01-16,53043.0,6,174.0,15.91,62324.0,9281.0,0.8510846543867531,0.1489153456132469,0.002799678197908273,1.0387333333333333,0.0
2019-01-17,52666.0,6,-377.0,15.95,61947.0,9281.0,0.8501783782911199,0.14982162170888016,-0.006049034079969151,1.03245,-0.00604903407996904
2019-01-18,53506.0,6,840.0,15.73,62787.0,9281.0,0.8521827766894421,0.1478172233105579,0.013559978691461971,1.04645,0.0
2019-01-21,54036.0,6,530.0,15.95,63317.0,9281.0,0.853420092550184,0.146579907449816,0.008441237835857818,1.0552833333333334,0.0
