code,name,sell_trades,realized_pnl,sell_amount,fee,realized_pnl_rate,held_days,avg_value,last_float_pnl
600438.XSHG,通威股份,2.0,-8375.0,19452.0,19.73,-0.4305469874563027,319,11776.554858934169,-1480.0
300017.XSHE,网宿科技,2.0,-3584.2,17993.0,19.0,-0.19919968876785416,120,9598.875,-1280.2
002466.XSHE,天齐锂业,1.0,-2866.0,8697.0,9.35,-0.32953892146717256,120,10869.716666666667,-3005.0
601766.XSHG,中国中车,3.0,-2762.0,25049.0,27.53,-0.11026388278973212,300,8220.233333333334,323.0
600570.XSHG,恒生电子,1.0,-2542.02,6826.0,8.41,-0.3724025783767946,120,8599.9,-2572.02
600104.XSHG,上汽集团,4.0,-2384.0,34904.0,37.45,-0.06830162732065093,240,8956.9625,-728.0
601985.XSHG,中国核电,2.0,-2195.0,16627.0,18.310000000000002,-0.13201419378119925,120,8787.508333333333,-1545.0
601818.XSHG,光大银行,2.0,-1373.0,12246.0,16.12,-0.1121182426914911,240,12952.270833333334,-1411.0
600873.XSHG,梅花生物,1.0,-1344.0,11280.0,10.64,-0.11914893617021277,60,12069.4,-1152.0
600346.XSHG,恒力石化,1.0,-1215.0,11403.0,10.7,-0.10655090765588003,60,12334.35,-954.0
300033.XSHE,同花顺,2.0,-1199.0,22889.0,21.45,-0.052383240858054084,120,11687.258333333333,1506.0
002236.XSHE,大华股份,7.0,-963.5799999999999,66460.0,68.23,-0.014498645801986156,660,10487.427272727273,1144.0
000001.XSHE,平安银行,3.0,-958.8000000000001,36666.0,33.33,-0.026149566355751924,319,13500.253918495298,-154.0
601877.XSHG,正泰电器,1.0,-870.0,11136.0,10.57,-0.078125,60,11231.7,-684.0
000776.XSHE,广发证券,3.0,-767.0,26891.0,28.439999999999998,-0.028522554014354246,180,9100.93888888889,-315.0
601229.XSHG,上海银行,1.0,-765.0,12495.0,11.25,-0.061224489795918366,60,12698.15,-714.0
002252.XSHE,上海莱士,1.0,-648.33,15203.0,12.6,-0.042644872722488986,120,15029.341666666667,-648.33
002241.XSHE,歌尔股份,1.0,-635.84,12264.0,11.13,-0.05184605348988911,120,11064.341666666667,-684.84
000792.XSHE,盐湖股份,2.0,-590.0,21803.0,20.9,-0.027060496261982297,120,10881.316666666668,308.0
601211.XSHG,国泰君安,2.0,-548.0,21764.0,20.880000000000003,-0.02517919500091895,120,10985.066666666668,-24.0
000725.XSHE,京东方A,4.0,-471.70000000000005,37766.0,38.89,-0.012490070433723455,300,12588.646666666667,1620.3
000876.XSHE,新希望,2.0,-297.25,20099.0,20.049999999999997,-0.014789292999651723,240,10715.633333333333,-1974.0
600000.XSHG,浦发银行,1.0,-193.0,11856.0,10.93,-0.01627867746288799,240,11162.925,-102.0
600905.XSHG,三峡能源,1.0,-95.0,11989.0,10.99,-0.00792393026941363,60,11428.816666666668,57.0
601989.XSHG,中国重工,1.0,58.0,11832.0,10.92,0.004901960784313725,60,12018.083333333334,87.0
601601.XSHG,中国太保,1.0,266.0,7294.0,8.65,0.036468330134357005,60,7043.4,380.0
000538.XSHE,云南白药,2.0,378.4,21920.0,20.96,0.017262773722627738,319,10747.705329153605,170.0
000895.XSHE,双汇发展,4.0,549.0,48988.0,44.49,0.011206826161508941,480,10637.335416666667,510.0
601668.XSHG,中国建筑,7.0,616.67,47485.0,58.75,0.01298662735600716,660,10254.377272727274,-183.33
600690.XSHG,海尔智家,1.0,680.0,11584.0,10.79,0.05870165745856354,60,12498.466666666667,776.0
601377.XSHG,兴业证券,1.0,858.0,11336.0,10.67,0.07568807339449542,60,11143.383333333333,819.0
600760.XSHG,中航沈飞,1.0,901.2,12303.2,11.15,0.07324923597112946,60,12280.573333333334,1254.0
000709.XSHE,河钢股份,1.0,1292.0,6707.0,8.35,0.19263456090651557,60,6139.85,1216.0
601166.XSHG,兴业银行,2.0,1383.6,24402.0,22.2,0.056700270469633635,240,11461.675,1424.0
600887.XSHG,伊利股份,4.0,1530.0,33696.0,36.85,0.045405982905982904,600,10554.376666666667,-1566.0
002027.XSHE,分众传媒,4.0,1612.79,48005.0,44.01,0.033596292052911154,360,10871.783333333333,1980.0
