code,name,sell_trades,realized_pnl,sell_amount,fee,realized_pnl_rate,held_days,avg_value,last_float_pnl
002475.XSHE,立讯精密,1.0,1784.0,7026.0,8.51,0.25391403358952463,60,6586.933333333333,1858.0
601328.XSHG,交通银行,2.0,1823.0,27388.0,23.689999999999998,0.0665619979553089,240,12014.25,960.0
000157.XSHE,中联重科,6.0,1943.88,59148.0,59.58,0.032864678433759384,600,10440.948333333334,2060.0
601319.XSHG,中国人保,1.0,1944.0,14544.0,12.27,0.13366336633663367,60,14098.4,2040.0
600795.XSHG,国电电力,5.0,1978.0,47567.0,48.79,0.041583450711627806,360,11378.997222222222,4092.0
601009.XSHG,南京银行,5.0,2129.7599999999998,50389.0,50.19,0.04226636765960824,360,9499.027777777777,-468.84
600809.XSHG,山西汾酒,1.0,2545.0,5969.0,7.98,0.4263695761434076,60,4638.3,2550.0
000039.XSHE,中集集团,3.0,2646.79,43745.0,36.87,0.060504971996799634,240,14210.683333333332,3128.79
601669.XSHG,中国电建,2.0,2743.0,30055.0,25.03,0.0912660123107636,120,14756.275,186.0
600031.XSHG,三一重工,3.0,2795.9700000000003,20638.0,25.32,0.13547679038666538,360,7953.227777777778,-2534.0
601012.XSHG,隆基绿能,3.0,2844.0,39844.0,34.92,0.07137837566509386,300,11957.17,400.0
300433.XSHE,蓝思科技,2.0,2989.4,22155.0,21.08,0.134931166779508,120,10865.608333333334,940.0
601688.XSHG,华泰证券,3.0,3136.0,39856.0,34.93,0.07868325973504617,180,13317.527777777777,5112.0
300142.XSHE,沃森生物,2.0,3180.0,8700.0,14.350000000000001,0.36551724137931035,120,5647.275,2282.0
002142.XSHE,宁波银行,1.0,3474.0,15204.0,12.6,0.22849250197316495,60,14484.5,3162.0
601336.XSHG,新华保险,5.0,3563.0,41534.0,45.769999999999996,0.0857851398853951,300,8053.466666666666,1095.0
002422.XSHE,科伦药业,6.0,4281.32,68726.0,64.35,0.06229549224456537,660,11400.224242424243,-192.68
600016.XSHG,民生银行,5.0,5418.0,67147.0,58.57,0.0806886383606118,360,12721.530555555555,2268.0
603259.XSHG,药明康德,1.0,6678.0,20156.0,15.12,0.33131573724945423,79,14964.87341772152,25.0
601225.XSHG,陕西煤业,4.0,6748.0,52325.0,46.16,0.12896321070234112,240,12619.766666666666,1722.0
000100.XSHE,TCL科技,11.0,7145.330000000001,51791.0,80.9,0.13796470429225158,859,10445.806752037253,36.0
601111.XSHG,中国国航,3.0,7349.0,47713.0,38.86,0.15402510846100642,180,14615.477777777778,1640.0
000651.XSHE,格力电器,4.0,7481.8099999999995,34035.0,37.019999999999996,0.2198269428529455,799,10645.650813516897,-853.74
000338.XSHE,潍柴动力,8.0,7866.42,54666.0,67.32,0.14389968170343542,799,11124.092615769712,3728.84
600019.XSHG,宝钢股份,7.0,8622.55,85462.0,77.73,0.10089337951370199,480,11078.50625,2598.96
000625.XSHE,长安汽车,3.0,13895.6,45563.8,38.09,0.3049701736905175,180,13400.557777777778,-801.0
601919.XSHG,中远海控,7.0,28218.0,51010.0,60.51,0.553185649872574,979,13484.050561797752,2475.0
600745.XSHG,闻泰科技,,,,,,79,16765.063291139242,-704.0
600989.XSHG,宝丰能源,,,,,,19,14713.263157894737,688.0
