date,stock_value,holdings,day_pnl,max_weight,total_value,cash,exposure,cash_ratio,ret,equity,drawdown
2019-01-02,47603.0,10,-27.0,9.36,59923.0,12320.0,0.7944028169484172,0.20559718305158287,0.0,0.9987166666666667,0.0
2019-01-03,47308.0,10,-295.0,9.41,59628.0,12320.0,0.7933856577446837,0.2066143422553163,-0.004922984496770866,0.9938,-0.004922984496770866
2019-01-04,48250.0,10,942.0,9.33,60570.0,12320.0,0.7965989763909526,0.20340102360904738,0.015797947273093138,1.0095,0.0
2019-01-07,48378.0,10,128.0,9.64,60698.0,12320.0,0.7970279086625589,0.2029720913374411,0.0021132573881459393,1.0116333333333334,0.0
2019-01-08,48679.0,10,301.0,10.24,60999.0,12320.0,0.7980294758930474,0.20197052410695257,0.004958977231539707,1.01665,0.0
2019-01-09,49125.0,10,446.0,10.1,61445.0,12320.0,0.7994954837659696,0.20050451623403043,0.007311595272053717,1.0240833333333332,0.0
2019-01-10,48921.0,10,-204.0,9.66,61241.0,12320.0,0.7988275828284972,0.20117241717150275,-0.0033200423142647484,1.0206833333333334,-0.0033200423142646374
2019-01-11,49144.0,10,223.0,9.81,61464.0,12320.0,0.7995574645320839,0.20044253546791618,0.0036413513822439736,1.0244,0.0
2019-01-14,48784.0,10,-360.0,9.72,61104.0,12320.0,0.7983765383608274,0.20162346163917255,-0.005857087075361145,1.0184,-0.005857087075361145
2019-01-15,49634.0,10,850.0,9.69,61954.0,12320.0,0.8011427833553927,0.1988572166446073,0.013910709609845417,1.0325666666666666,0.0
2019-01-16,49951.0,10,317.0,9.47,62271.0,12320.0,0.8021550962727433,0.19784490372725666,0.005116699486716003,1.03785,0.0
2019-01-17,49769.0,10,-182.0,9.46,62089.0,12320.0,0.8015751582405901,0.1984248417594099,-0.0029227088050617356,1.0348166666666667,-0.0029227088050616246
2019-01-18,50472.0,10,703.0,9.35,62792.0,12320.0,0.8037966619951586,0.19620333800484138,0.011322456473771503,1.0465333333333333,0.0
2019-01-21,50719.0,10,247.0,9.53,63039.0,12320.0,0.8045654277510748,0.19543457224892527,0.003933622117467284,1.05065,0.0
2019-01-22,50138.0,10,-581.0,9.55,62458.0,12320.0,0.8027474462839028,0.1972525537160972,-0.009216516759466331,1.0409666666666666,-0.009216516759466553
2019-01-23,50209.0,10,71.0,9.57,62529.0,12320.0,0.8029714212605351,0.1970285787394649,0.0011367639053443401,1.04215,-0.008090229857707354
2019-01-24,50369.0,10,160.0,9.55,62689.0,12320.0,0.8034742937357431,0.1965257062642569,0.002558812710902192,1.0448166666666667,-0.005552118529799088
2019-01-25,50834.0,10,465.0,9.53,63154.0,12320.0,0.8049213034803813,0.1950786965196187,0.007417569270525837,1.0525666666666667,0.0
2019-01-28,51019.0,10,185.0,9.52,63339.0,12320.0,0.805491087639527,0.19450891236047302,0.002929347309750696,1.05565,0.0
2019-01-29,51289.0,10,270.0,9.68,63609.0,12320.0,0.8063167161879609,0.19368328381203917,0.004262776488419551,1.06015,0.0
2019-01-30,50783.0,10,-506.0,9.67,63103.0,12320.0,0.8047636403974454,0.19523635960255456,-0.007954849156565857,1.0517166666666666,-0.007954849156565857
2019-01-31,51118.0,10,335.0,9.77,63438.0,12320.0,0.8057946341309625,0.19420536586903747,0.0053087808820500015,1.0573,-0.0026882988256379248
2019-02-01,51882.0,10,764.0,9.78,64202.0,12320.0,0.8081056664901405,0.19189433350985952,0.012043254831489048,1.0700333333333334,0.0
2019-02-11,52611.0,10,729.0,9.77,64931.0,12320.0,0.810260122283655,0.18973987771634504,0.011354786455250565,1.0821833333333333,0.0
2019-02-12,53695.0,10,1084.0,10.1,66015.0,12320.0,0.8133757479360751,0.18662425206392486,0.016694645084782245,1.10025,0.0
2019-02-13,54827.0,10,1132.0,10.91,67147.0,12320.0,0.8165219592833634,0.18347804071663662,0.017147617965613815,1.1191166666666668,0.0
2019-02-14,54820.0,10,-7.0,10.62,67140.0,12320.0,0.8165028299076557,0.18349717009234434,-0.00010424888677085242,1.119,-0.00010424888677085242
2019-02-15,53825.0,10,-995.0,10.71,66145.0,12320.0,0.8137425353390279,0.1862574646609721,-0.014819779565087843,1.1024166666666666,-0.014922483506336959
2019-02-18,55758.0,10,1933.0,10.7,68078.0,12320.0,0.8190311113722495,0.1809688886277505,0.029223675258900794,1.1346333333333334,0.0
2019-02-19,55391.0,10,-367.0,10.53,67711.0,12320.0,0.8180502429442779,0.1819497570557221,-0.005390875172596177,1.1285166666666666,-0.005390875172596177
2019-02-20,55204.0,10,-187.0,10.59,67524.0,12320.0,0.8175463538889877,0.1824536461110124,-0.002761737383881524,1.1254,-0.008137724374981725
2019-02-21,54743.0,10,-461.0,10.4,67063.0,12320.0,0.8162921432086248,0.18370785679137527,-0.006827202179965686,1.1177166666666667,-0.014909368665354417
2019-02-22,55073.0,10,330.0,10.41,67393.0,12320.0,0.8171916964669921,0.18280830353300787,0.004920746164054801,1.1232166666666668,-0.010061987719968246
2019-02-25,57883.0,10,2870.0,10.8,70251.0,12368.0,0.8239455666111515,0.17605443338884855,0.04240796521893975,1.17085,0.0
2019-02-26,57965.0,10,82.0,10.7,70333.0,12368.0,0.8241508253593619,0.1758491746406381,0.001167243170915766,1.1722166666666667,0.0
2019-02-27,57374.0,10,-591.0,10.25,69742.0,12368.0,0.8226606635886553,0.17733933641134467,-0.008402883425987828,1.1623666666666668,-0.008402883425987717
2019-02-28,57542.0,10,168.0,10.16,69910.0,12368.0,0.8230868259190388,0.17691317408096124,0.0024088784376703476,1.1651666666666667,-0.00601424651301663
2019-03-01,58941.0,10,1399.0,10.15,71309.0,12368.0,0.8265576575186863,0.1734423424813137,0.020011443284222663,1.1884833333333333,0.0
2019-03-04,60448.0,10,1507.0,10.42,72816.0,12368.0,0.8301472203911229,0.16985277960887718,0.02113337727355602,1.2136,0.0
2019-03-05,62021.0,10,1573.0,11.24,74389.0,12368.0,0.8337388592399414,0.1662611407600586,0.021602395078004877,1.2398166666666666,0.0
2019-03-06,63061.0,10,1040.0,11.72,75429.0,12368.0,0.8360312346710151,0.16396876532898488,0.013980561642178202,1.25715,0.0
2019-03-07,62229.0,10,-832.0,11.53,74597.0,12368.0,0.8342024478196174,0.16579755218038258,-0.011030240358482768,1.2432833333333333,-0.011030240358482879
2019-03-08,59391.0,10,-2838.0,11.13,71759.0,12368.0,0.8276453127830655,0.17235468721693445,-0.03804442537903674,1.1959833333333334,-0.048655026581288285
2019-03-11,61214.0,10,1823.0,11.66,73582.0,12368.0,0.8319154140958387,0.16808458590416134,0.025404478880697967,1.2263666666666666,-0.024486603295814646
2019-03-12,61376.0,10,162.0,11.49,73744.0,12368.0,0.8322846604469516,0.16771533955304838,0.002201625397515672,1.2290666666666668,-0.02233888822601382
2019-03-13,60215.0,10,-1161.0,11.21,72583.0,12368.0,0.8296019729137677,0.1703980270862323,-0.015743653720980744,1.2097166666666668,-0.037730846226252446
2019-03-14,59952.0,10,-263.0,11.41,72320.0,12368.0,0.8289823008849557,0.17101769911504425,-0.00362343799512288,1.2053333333333334,-0.04121756883957095
2019-03-15,61100.0,10,1148.0,11.23,73468.0,12368.0,0.8316545979201829,0.16834540207981707,0.01587389380530979,1.2244666666666666,-0.02599795834493368
2019-03-18,63132.0,10,2032.0,10.96,75500.0,12368.0,0.8361854304635762,0.16381456953642384,0.027658300212337394,1.2583333333333333,0.0
2019-03-19,62745.0,10,-387.0,11.22,75113.0,12368.0,0.835341418928814,0.16465858107118608,-0.005125827814569495,1.2518833333333332,-0.005125827814569606
